x,y,elev,slope,aspect,ndvi,bio,sm,tem,pre,lst
82.5357,32.0478,5398,8.18303,105.788,0.1694,661.932,2363,-6.5166666666666675,574,26.534
90.0439,32.0862,4768,1.07565,7.26695,0.1764,956.03,2449,-0.9666666666666666,4349,0
86.1211,32.0877,4678,0.472462,104.036,0.1054,602.103,2130,0.5333333333333333,1464,6.058
80.0766,32.1526,4275,1.72208,279.815,0.0695,613.918,2095,1.0583333333333333,1040,30.454
86.4287,32.1626,4542,1.1901,50.371,0.0843,642.227,2067,1.3416666666666666,1707,0
80.3808,32.1889,4958,2.29545,340.887,0.1289,644.166,2298,-4.766666666666667,512,28.683999999999997
78.9531,32.2086,5458,8.14796,306.98,0.0242,-9999,2052,-9.675,1391,0
84.6776,32.2108,4398,0.217468,107.241,-0.1429,420.156,2832,1.2333333333333334,966,0
91.2078,32.2574,4725,0.956082,278.616,0.2967,875.433,2594,-2.125,4611,0
86.7922,32.2951,4960,0.749881,118.523,0.131,694.593,2233,-1.4666666666666666,1826,0
78.6191,32.3352,4494,22.3577,22.5904,0.0768,876.675,2158,-5.075,2030,27.748
84.0875,32.3352,4433,0.216523,235.784,0.1121,561.365,1958,1.0583333333333333,747,0
79.1466,32.3423,5271,14.7604,91.5496,0.1797,649.6,2175,-7.925,1026,1.128
90.2548,32.3577,4762,1.38823,209.342,0.2116,-9999,2354,-1.3416666666666666,4486,0
79.4694,32.3579,5145,6.59676,136.401,0.0974,654.905,2220,-6.675,752,0
89.7371,32.3713,4795,1.79762,239.349,0.1335,917.17,2235,-1.2583333333333333,3948,0
86.4202,32.3742,4764,1.72172,145.847,0.1245,594.856,2095,-0.05,1586,27.151999999999997
